strategy,N,rep,output,rmse,nrmse,r2,mae
lhs,80,5,v_out_ripple,0.04096424337983372,0.030145949782438737,0.914421909035066,0.013066662307621995
lhs,80,5,i_l_ripple,0.12001729448533169,0.019907925679757354,0.9830322690947332,0.027069924255387914
lhs,80,5,efficiency,0.2304698503151216,0.09882099625090363,0.20126304207702173,0.1419131395064034
lhs,80,6,v_out_mean,0.846316170241836,0.009283497438715168,0.9978531539021812,0.5558350085862326
lhs,80,6,i_l_mean,1.0914561040161244,0.02892058945948596,0.9433910486649085,0.6070238642532291
lhs,80,6,v_out_ripple,0.0691990288137626,0.05092417863722023,0.7557960314461819,0.02994467889502444
lhs,80,6,i_l_ripple,0.07897104075282303,0.01309935886242158,0.9926536464314866,0.020459967396628437
lhs,80,6,efficiency,0.21148995849114793,0.09068278721308401,0.3274028165710209,0.12854068882923098
lhs,80,7,v_out_mean,0.8224893749600493,0.009022134131775102,0.9979723348958208,0.5436213277375491
lhs,80,7,i_l_mean,1.516485406487962,0.0401826987828107,0.8907178998829979,0.662956288347561
lhs,80,7,v_out_ripple,0.04390112884836867,0.03230722982929086,0.9017111861763173,0.016310614490763143
lhs,80,7,i_l_ripple,0.11113769880548265,0.018435018532343413,0.9854501370183368,0.025267383324879402
lhs,80,7,efficiency,0.28434269240344656,0.12192062476524809,-0.2157931247734075,0.15918816246424727
lhs,80,8,v_out_mean,1.1917998194563295,0.013073211833140872,0.9957426214773782,0.4935700482631576
lhs,80,8,i_l_mean,1.552244433971826,0.04113021481165141,0.8855033489085212,0.6535121909733527
lhs,80,8,v_out_ripple,0.05810021530834151,0.042756463406239315,0.8278495341151366,0.021439360032834007
lhs,80,8,i_l_ripple,0.09380352468695521,0.015559704174096538,0.9896348780039612,0.02456893766557422
lhs,80,8,efficiency,0.15385560261085374,0.06597029463072515,0.6440392021147623,0.09699798373238841
lhs,80,9,v_out_mean,0.8981123411443511,0.00985166526631481,0.9975823303277519,0.5586354140451679
lhs,80,9,i_l_mean,0.882298915930025,0.023378498351212487,0.9630083202171416,0.47937832599324837
lhs,80,9,v_out_ripple,0.05525473906404469,0.04066245221769329,0.8442988632093892,0.01645902935263985
lhs,80,9,i_l_ripple,0.05530444148965004,0.009173650478106754,0.9963970675075451,0.017327784610693866
lhs,80,9,efficiency,0.20289500292436732,0.08699743717410852,0.3809606699701642,0.12044196966692398
lhs,100,0,v_out_mean,1.1002065791297655,0.012068497942666224,0.996371859392644,0.5094778389353397
lhs,100,0,i_l_mean,1.104670668403689,0.02927073912664386,0.9420119897520647,0.5170343952742442
lhs,100,0,v_out_ripple,0.03934108199155407,0.028951450930204098,0.9210694154938495,0.014260316523798526
lhs,100,0,i_l_ripple,0.05226240029649448,0.008669050451520562,0.9967825277689989,0.015114123941802522
lhs,100,0,efficiency,0.19231247877759133,0.08245985632523063,0.44385188224349426,0.12429331220480219
lhs,100,1,v_out_mean,0.7201521691448647,0.00789956644197301,0.9984455234294819,0.42901251569110915
lhs,100,1,i_l_mean,0.8843196258248731,0.023432041614263183,0.9628386837129329,0.48991243328575385
lhs,100,1,v_out_ripple,0.03376013149091687,0.024844379991032065,0.9418752660965771,0.017462017040354973
lhs,100,1,i_l_ripple,0.0452040608258999,0.007498245042136263,0.9975929173389959,0.01311783945122345
lhs,100,1,efficiency,0.19752398766763826,0.08469445013340428,0.41330115975900594,0.12127822390938127
lhs,100,2,v_out_mean,0.6819926561596893,0.007480983229792075,0.9986058964582246,0.38665908989451314
lhs,100,2,i_l_mean,0.8452763211384762,0.022397501258657432,0.9660476399220955,0.5609364022244988
lhs,100,2,v_out_ripple,0.04430346126513618,0.03260330982079124,0.8999013930646728,0.016599157715486656
lhs,100,2,i_l_ripple,0.06029210432941317,0.010000981418664054,0.9957178982049638,0.014287730569821442
lhs,100,2,efficiency,0.1805469002117108,0.07741500471553482,0.5098199708100262,0.11438041600634503
lhs,100,3,v_out_mean,0.8622357337267762,0.009458123934148518,0.9977716281214991,0.4240498325994357
lhs,100,3,i_l_mean,1.0266204192523802,0.027202621861451257,0.9499167667832168,0.5483251083240718
lhs,100,3,v_out_ripple,0.02825788035630531,0.02079522461285601,0.9592777390333517,0.014587468543683665
lhs,100,3,i_l_ripple,0.044152543013538936,0.0073238240259886145,0.9977035999489341,0.013452775158516799
lhs,100,3,efficiency,0.23392992113883426,0.10030460742794241,0.17709994903846638,0.14750579781984202
lhs,100,4,v_out_mean,0.8989431292411343,0.009860778431630319,0.9975778553860414,0.49844996899519545
lhs,100,4,i_l_mean,1.1686606164344093,0.030966297023769292,0.9350993002863549,0.6225243125481507
lhs,100,4,v_out_ripple,0.10798473237315082,0.07946692165669643,0.40532808081905425,0.04470875791143906
lhs,100,4,i_l_ripple,0.03623087473143667,0.006009813540282678,0.9984537000488892,0.013986199875770435
lhs,100,4,efficiency,0.21765733787782088,0.09332723972787058,0.2876028611071998,0.12893848110505327
lhs,100,5,v_out_mean,1.171131665991059,0.012846496621374348,0.9958890037350785,0.6891424696359265
lhs,100,5,i_l_mean,0.6641333767176905,0.01759771067633399,0.9790403910722174,0.42928753490214405
lhs,100,5,v_out_ripple,0.04639580554819149,0.034143084523809666,0.8902233033909213,0.015776467246174337
lhs,100,5,i_l_ripple,0.12080432530584952,0.02003847479061456,0.9828090027222103,0.026939111848819378
lhs,100,5,efficiency,0.20909588865051404,0.08965625655659162,0.34254425066260474,0.12117457022941149
lhs,100,6,v_out_mean,0.7777630434054388,0.008531517505235044,0.9981868645859214,0.44939942662496196
lhs,100,6,i_l_mean,1.185196042605654,0.03140444040862606,0.9332497422357403,0.5999465477293965
lhs,100,6,v_out_ripple,0.04020852315409287,0.029589808570125463,0.9175503222534959,0.014844178719346453
lhs,100,6,i_l_ripple,0.06433410107488757,0.010671449547043337,0.9951245065496632,0.01554281101037262
lhs,100,6,efficiency,0.20063863811733834,0.08602995176188992,0.39465259787678597,0.1123248952572891
lhs,100,7,v_out_mean,0.9547137942848112,0.010472543684727715,0.9972679916054787,0.5060062695739581
lhs,100,7,i_l_mean,0.6596546171055778,0.01747903584593722,0.9793221312296116,0.436822845331673
